"UF","Freq","Porcentagem"
"São Paulo",20416,"67.03%"
"Rio de Janeiro",1646,"5.4%"
"Bahia",1441,"4.73%"
"Rio Grande do Sul",1372,"4.5%"
"Santa Catarina",970,"3.18%"
"Acre",843,"2.77%"
"Minas Gerais",686,"2.25%"
"Distrito Federal",515,"1.69%"
"Paraná",480,"1.58%"
"Pernambuco",387,"1.27%"
"Rondônia",349,"1.15%"
"Ceará",193,"0.63%"
"Alagoas",191,"0.63%"
"Amapá",161,"0.53%"
"Sergipe",117,"0.38%"
"Mato Grosso do Sul",104,"0.34%"
"Mato Grosso",97,"0.32%"
"Goiás",95,"0.31%"
"Maranhão",85,"0.28%"
"Rio Grande do Norte",70,"0.23%"
"Amazonas",64,"0.21%"
"Pará",62,"0.2%"
"Roraima",42,"0.14%"
"Tocantins",37,"0.12%"
"Paraíba",25,"0.08%"
"Espírito Santo",8,"0.03%"
"Piauí",2,"0.01%"
