"UF","Freq","Porcentagem"
"São Paulo",83055,"41.89%"
"Rio de Janeiro",27567,"13.9%"
"Rio Grande do Sul",17264,"8.71%"
"Minas Gerais",10619,"5.36%"
"Paraná",10218,"5.15%"
"Santa Catarina",9871,"4.98%"
"Goiás",4697,"2.37%"
"Ceará",3778,"1.91%"
"Acre",3747,"1.89%"
"Distrito Federal",3657,"1.84%"
"Pernambuco",3480,"1.76%"
"Pará",3248,"1.64%"
"Espírito Santo",3101,"1.56%"
"Amazonas",2781,"1.4%"
"Mato Grosso do Sul",2236,"1.13%"
"Alagoas",1471,"0.74%"
"Rio Grande do Norte",1460,"0.74%"
"Maranhão",1205,"0.61%"
"Rondônia",1179,"0.59%"
"Piauí",1066,"0.54%"
"Paraíba",839,"0.42%"
"Mato Grosso",567,"0.29%"
"Amapá",385,"0.19%"
"Tocantins",275,"0.14%"
"Sergipe",248,"0.13%"
"Roraima",243,"0.12%"
