"UF","Freq","Porcentagem"
"São Paulo",461778,"74.46%"
"Rio Grande do Sul",28327,"4.57%"
"Distrito Federal",19726,"3.18%"
"Rondônia",17318,"2.79%"
"Minas Gerais",14076,"2.27%"
"Santa Catarina",13860,"2.23%"
"Rio de Janeiro",11403,"1.84%"
"Paraná",10887,"1.76%"
"Pernambuco",6321,"1.02%"
"Goiás",6036,"0.97%"
"Pará",5614,"0.91%"
"Bahia",5159,"0.83%"
"Amazonas",4537,"0.73%"
"Mato Grosso",4489,"0.72%"
"Rio Grande do Norte",3327,"0.54%"
"Ceará",3124,"0.5%"
"Mato Grosso do Sul",1075,"0.17%"
"Espírito Santo",878,"0.14%"
"Maranhão",722,"0.12%"
"Tocantins",631,"0.1%"
"Alagoas",262,"0.04%"
"Roraima",251,"0.04%"
"Piauí",209,"0.03%"
"Sergipe",80,"0.01%"
"Paraíba",47,"0.01%"
