"UF","Freq","Porcentagem"
"Acre",1001,"16.78%"
"Rio de Janeiro",928,"15.55%"
"Maranhão",652,"10.93%"
"Rio Grande do Sul",587,"9.84%"
"Paraná",356,"5.97%"
"Goiás",292,"4.89%"
"Rondônia",274,"4.59%"
"Pará",256,"4.29%"
"Mato Grosso do Sul",243,"4.07%"
"Pernambuco",159,"2.67%"
"Paraíba",144,"2.41%"
"Ceará",140,"2.35%"
"Espírito Santo",126,"2.11%"
"Amapá",117,"1.96%"
"Piauí",115,"1.93%"
"Rio Grande do Norte",91,"1.53%"
"Sergipe",83,"1.39%"
"Roraima",78,"1.31%"
"Alagoas",69,"1.16%"
"Mato Grosso",64,"1.07%"
"Amazonas",62,"1.04%"
"Bahia",54,"0.91%"
"Minas Gerais",53,"0.89%"
"Tocantins",22,"0.37%"
