"UF","Freq","Porcentagem"
"São Paulo",1098,"39.75%"
"Rio Grande do Sul",461,"16.69%"
"Rio de Janeiro",378,"13.69%"
"Minas Gerais",118,"4.27%"
"Santa Catarina",109,"3.95%"
"Paraná",107,"3.87%"
"Bahia",84,"3.04%"
"Pernambuco",68,"2.46%"
"Pará",50,"1.81%"
"Espírito Santo",35,"1.27%"
"Goiás",35,"1.27%"
"Ceará",26,"0.94%"
"Amazonas",24,"0.87%"
"Mato Grosso",21,"0.76%"
"Distrito Federal",21,"0.76%"
"Mato Grosso do Sul",17,"0.62%"
"Maranhão",16,"0.58%"
"Paraíba",16,"0.58%"
"Alagoas",16,"0.58%"
"Acre",15,"0.54%"
"Rio Grande do Norte",10,"0.36%"
"Piauí",8,"0.29%"
"Sergipe",8,"0.29%"
"Rondônia",7,"0.25%"
"Amapá",7,"0.25%"
"Tocantins",5,"0.18%"
"Roraima",2,"0.07%"
