"UF","Freq","Porcentagem"
"São Paulo",11533,"43.06%"
"Rio Grande do Sul",3766,"14.06%"
"Rio de Janeiro",2567,"9.58%"
"Paraná",1826,"6.82%"
"Minas Gerais",1357,"5.07%"
"Santa Catarina",1328,"4.96%"
"Bahia",586,"2.19%"
"Pernambuco",429,"1.6%"
"Goiás",341,"1.27%"
"Maranhão",307,"1.15%"
"Acre",291,"1.09%"
"Amazonas",275,"1.03%"
"Mato Grosso do Sul",269,"1%"
"Distrito Federal",263,"0.98%"
"Mato Grosso",248,"0.93%"
"Espírito Santo",229,"0.86%"
"Ceará",190,"0.71%"
"Rio Grande do Norte",188,"0.7%"
"Roraima",155,"0.58%"
"Paraíba",115,"0.43%"
"Pará",107,"0.4%"
"Sergipe",100,"0.37%"
"Rondônia",88,"0.33%"
"Alagoas",73,"0.27%"
"Piauí",60,"0.22%"
"Tocantins",59,"0.22%"
"Amapá",32,"0.12%"
